country,year,num,iso_alpha
Portugal,01-5-2019,3,PRT
Portugal,01-6-2019,0,PRT
Portugal,01-7-2019,1,PRT
Portugal,01-8-2019,1,PRT
Portugal,01-9-2019,2,PRT
Portugal,01-10-2019,1,PRT
Portugal,01-11-2019,2,PRT
Portugal,01-12-2019,2,PRT
Romania,01-1-2019,3,ROU
Romania,01-2-2019,0,ROU
Romania,01-3-2019,3,ROU
Romania,01-4-2019,3,ROU
Romania,01-5-2019,3,ROU
Romania,01-6-2019,3,ROU
Romania,01-7-2019,1,ROU
Romania,01-8-2019,1,ROU
Romania,01-9-2019,2,ROU
Romania,01-10-2019,2,ROU
Romania,01-11-2019,1,ROU
Romania,01-12-2019,2,ROU
Russian Federation,01-1-2019,8,RUS
Russian Federation,01-2-2019,4,RUS
Russian Federation,01-3-2019,6,RUS
Russian Federation,01-4-2019,7,RUS
Russian Federation,01-5-2019,9,RUS
Russian Federation,01-6-2019,10,RUS
Russian Federation,01-7-2019,4,RUS
Russian Federation,01-8-2019,3,RUS
Russian Federation,01-9-2019,7,RUS
Russian Federation,01-10-2019,5,RUS
Russian Federation,01-11-2019,6,RUS
Russian Federation,01-12-2019,5,RUS
Saudi Arabia,01-1-2019,0,SAU
Saudi Arabia,01-2-2019,1,SAU
Saudi Arabia,01-3-2019,0,SAU
Saudi Arabia,01-4-2019,0,SAU
Saudi Arabia,01-5-2019,0,SAU
Saudi Arabia,01-6-2019,1,SAU
Saudi Arabia,01-7-2019,0,SAU
Saudi Arabia,01-8-2019,0,SAU
Saudi Arabia,01-9-2019,1,SAU
Saudi Arabia,01-10-2019,0,SAU
Saudi Arabia,01-11-2019,0,SAU
Saudi Arabia,01-12-2019,1,SAU
Singapore,01-1-2019,2,SGP
Singapore,01-2-2019,3,SGP
Singapore,01-3-2019,1,SGP
Singapore,01-4-2019,2,SGP
Singapore,01-5-2019,5,SGP
Singapore,01-6-2019,3,SGP
Singapore,01-7-2019,2,SGP
Singapore,01-8-2019,2,SGP
Singapore,01-9-2019,3,SGP
Singapore,01-10-2019,3,SGP
Singapore,01-11-2019,2,SGP
Singapore,01-12-2019,7,SGP
Serbia,01-1-2019,0,SRB
Serbia,01-2-2019,0,SRB
Serbia,01-3-2019,0,SRB
Serbia,01-4-2019,0,SRB
Serbia,01-5-2019,0,SRB
Serbia,01-6-2019,1,SRB
Serbia,01-7-2019,1,SRB
Serbia,01-8-2019,0,SRB
Serbia,01-9-2019,1,SRB
Serbia,01-10-2019,0,SRB
